Date,Open,High,Low,Close,Volume,Adj Close
2006-11-17 00:00:00,99.45,100.0,99.09,99.63,2289800,98.16
2006-11-16 00:00:00,99.6,100.06,98.95,99.89,2493400,98.41
2006-11-15 00:00:00,99.42,100.2,99.36,99.57,3490400,98.08
2006-11-14 00:00:00,98.0,99.38,97.37,99.26,3681200,97.76
2006-11-13 00:00:00,97.73,98.28,96.8,96.85,2254300,95.39
2006-11-10 00:00:00,96.88,97.6,96.83,97.57,1652000,96.09
2006-11-09 00:00:00,98.1,98.15,96.8,96.8,3212000,95.33
2006-11-08 00:00:00,97.61,98.41,97.13,98.06,2381900,96.56
2006-11-07 00:00:00,97.42,98.47,97.4,98.19,2590500,96.69
2006-11-06 00:00:00,96.7,97.91,96.7,97.52,2958500,96.02
2006-11-03 00:00:00,98.12,98.12,96.08,96.82,4321000,95.33
2006-11-02 00:00:00,97.13,98.02,96.98,97.53,5374300,96.03
2006-11-01 00:00:00,100.05,100.1,98.19,98.55,4852700,97.03
2006-10-31 00:00:00,100.82,101.14,99.93,100.14,2756500,98.6
2006-10-30 00:00:00,99.81,100.76,99.34,100.54,2231600,98.99
2006-10-27 00:00:00,100.92,101.09,100.0,100.29,2199500,98.75
2006-10-26 00:00:00,100.36,101.49,99.78,101.3,3322300,99.74
2006-10-25 00:00:00,100.6,100.94,99.28,99.65,4761000,98.12
2006-10-24 00:00:00,100.34,100.97,100.02,100.4,2858100,98.85
2006-10-23 00:00:00,98.4,100.99,98.22,100.45,5067800,98.9
2006-10-20 00:00:00,98.2,98.91,97.96,98.67,2032600,97.15
2006-10-19 00:00:00,98.67,99.26,97.96,98.2,2510000,96.69
2006-10-18 00:00:00,98.98,99.39,98.37,98.89,1453800,97.37
2006-10-17 00:00:00,98.83,98.95,97.86,98.51,4445400,96.98
2006-10-16 00:00:00,99.47,99.75,99.3,99.3,1581000,97.75
2006-10-13 00:00:00,99.66,99.95,99.27,99.95,2063500,98.39
2006-10-12 00:00:00,99.76,100.57,99.64,100.57,3580100,99.0
2006-10-11 00:00:00,98.39,99.5,98.35,99.25,3266800,97.7
2006-10-10 00:00:00,98.5,99.21,98.41,98.66,1687500,97.12
2006-10-09 00:00:00,97.2,98.56,97.05,98.51,1665800,96.98
2006-10-06 00:00:00,98.12,98.25,97.05,97.58,3834300,96.06
2006-10-05 00:00:00,99.04,99.25,97.63,98.6,5199700,97.06
2006-10-04 00:00:00,97.15,99.52,97.13,99.39,4276000,97.83
2006-10-03 00:00:00,96.7,98.3,96.11,98.08,3499400,96.54
2006-10-02 00:00:00,96.44,97.37,96.08,96.51,3317000,94.99
2006-09-29 00:00:00,98.0,98.36,97.0,97.1,3686700,95.57
2006-09-28 00:00:00,97.67,98.38,96.85,98.09,5706500,96.54
2006-09-27 00:00:00,98.0,98.69,97.48,97.8,3653400,96.25
2006-09-26 00:00:00,97.25,98.74,96.91,97.98,4452800,96.43
2006-09-25 00:00:00,96.8,97.84,96.14,97.53,3637300,95.99
2006-09-22 00:00:00,96.2,96.94,95.7,96.86,3103800,95.33
2006-09-21 00:00:00,99.18,99.18,96.21,96.5,4681700,94.98
2006-09-20 00:00:00,99.04,99.16,98.26,98.74,3210100,97.18
2006-09-19 00:00:00,98.01,98.25,97.28,98.2,4045400,96.65
2006-09-18 00:00:00,97.74,98.3,97.16,97.8,2671200,96.25
2006-09-15 00:00:00,98.5,99.13,97.64,98.28,3941300,96.73
2006-09-14 00:00:00,97.38,98.41,96.63,98.3,4955500,96.75
2006-09-13 00:00:00,97.66,98.4,96.84,97.85,4258500,96.3
2006-09-12 00:00:00,95.5,98.08,95.39,97.57,5576300,96.01
2006-09-11 00:00:00,93.76,95.95,93.76,95.68,3076400,94.15
2006-09-08 00:00:00,93.32,94.44,92.84,94.3,2319300,92.79
